iter	Passed	Remaining
0	1	108
1	2	105
2	3	106
3	4	101
4	5	104
5	6	103
6	8	106
7	9	107
8	10	105
9	11	101
10	12	98
11	12	94
12	13	92
13	14	89
14	15	86
15	16	84
16	17	83
17	17	81
18	18	80
19	19	78
20	20	77
21	21	75
22	22	73
23	22	72
24	23	70
25	24	69
26	25	68
27	25	66
28	26	65
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	56
36	33	56
37	34	55
38	35	54
39	35	53
40	36	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	47	36
57	48	35
58	49	34
59	49	33
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	55	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	74	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
